indicador_grupo,Indicador,Gráfico,total_caba,comuna_1,comuna_2,comuna_3,comuna_4,comuna_5,comuna_6,comuna_7,comuna_8,comuna_9,comuna_10,comuna_11,comuna_12,comuna_13,comuna_14,comuna_15
Estructura y distribución de la población,Población ,,"3,085,483","258,922","149,345","193,790","241,096","187,991","185,964","242,828","230,623","171,839","170,859","190,195","215,442","236,723","227,315","182,551"
Estructura y distribución de la población,Superficie (km2),,205.9,17.9,6.3,6.4,22.7,6.7,6.9,12.4,22.5,16.6,12.6,14.1,15.7,15.0,15.9,14.3
Estructura y distribución de la población,Densidad (hab. por km2),,"14,985","14,465","23,706","30,280","10,621","28,058","26,951","19,583","10,250","10,352","13,560","13,489","13,722","15,782","14,297","12,766"
Estructura y distribución de la población,Porcentaje de población en el total de la Ciudad,,100.0,8.4,4.8,6.3,7.8,6.1,6.0,7.9,7.5,5.6,5.5,6.2,7.0,7.7,7.4,5.9
Estructura y distribución de la población,Porcentaje de superficie en el total de la Ciudad,,100.0,8.7,3.1,3.1,11.0,3.3,3.4,6.0,10.9,8.1,6.1,6.8,7.6,7.3,7.7,6.9
Estructura y distribución de la población,Cantidad de varones cada 100 mujeres,,89.2,101.2,80.5,90.1,92.7,85.8,84.8,89.9,93.5,94.4,88.8,89.6,88.4,84.4,82.8,88.0
Estructura y distribución de la población,Edad promedio (años),,38.9,37.8,42.5,39.2,35.0,40.3,41.3,37.7,31.8,38.4,39.6,40.7,40.2,41.3,41.1,39.8
Estructura y distribución de la población,Porcentaje de población de 0 - 14 años,1,19.0,18.2,11.4,17.4,24.3,17.2,17.1,21.2,28.9,19.7,19.8,19.5,18.4,17.2,13.8,16.4
Estructura y distribución de la población,Porcentaje de población de 15 - 64 años,,64.0,66.9,67.5,65.8,62.3,64.7,63.7,62.5,60.3,63.2,62.0,61.8,63.5,63.1,67.1,66.5
Estructura y distribución de la población,Porcentaje de población de 65 años y más ,,17.0,14.9,21.1,16.8,13.4,18.1,19.2,16.3,10.8,17.1,18.2,18.7,18.1,19.7,19.1,17.1
Estructura y distribución de la población,Porcentaje de población nacida en esta Ciudad,,63.5,47.4,46.0,50.5,64.3,57.7,69.9,67.3,73.9,68.7,75.2,75.6,65.5,67.0,55.4,68.8
Crecimiento de la población,Tasa global de fecundidad (hijos/as por mujer)1 ,,1.1,1.1,1.3,1.1,1.3,0.9,0.9,1.2,1.3,1.1,1.0,0.9,1.0,1.0,1.3,1.0
Crecimiento de la población,Tasa de mortalidad infantil (por mil nacidos/as vivos/as) 1 ,,5.2,5.6,4.2,8.2,5.7,4.2,4.1,6.4,7.2,8.2,5.1,2.8,5.6,2.2,2.8,5.4
Crecimiento de la población,Tasa bruta de natalidad (por mil) (2023) ,,7.7,8.1,9.8,7.7,8.5,6.2,6.0,7.7,9.2,6.5,6.1,5.7,6.8,7.6,11.3,7.2
Crecimiento de la población,Tasa bruta de mortalidad (por mil) (2023) ,,9.1,7.2,10.5,9.7,8.3,9.8,9.7,8.8,6.3,9.9,10.0,10.5,9.4,9.9,8.9,9.7
Crecimiento de la población,Tasa de crecimiento vegetativo (por mil) (2023),,-1.4,0.9,-0.7,-2.0,0.2,-3.6,-3.8,-1.2,2.9,-3.5,-3.9,-4.8,-2.6,-2.3,2.4,-2.5
Crecimiento de la población,Porcentaje de mujeres de 14 años y más que no tuvieron hijos/as,2,36.5,37.3,50.4,38.2,29.5,42.6,40.4,33.0,27.6,30.2,30.0,31.2,35.8,37.4,47.2,36.1
Crecimiento de la población,Porcentaje de mujeres de 14 años y más que tuvieron 1 o 2 hijos/as ,,46.0,40.6,37.0,42.5,41.5,44.4,47.6,51.1,42.6,48.9,53.2,50.7,49.7,47.7,42.3,51.3
Crecimiento de la población,Porcentaje de mujeres de 14 años y más que tuvieron más de 2 hijos/as,,17.5,22.1,12.6,19.3,29.0,13.0,12.0,15.9,29.8,20.9,16.8,18.1,14.5,14.9,10.5,12.6
Hogares,Tamaño medio del hogar,,2.3,2.6,1.8,2.2,2.6,2.1,2.0,2.5,3.5,2.6,2.5,2.2,2.2,2.1,1.9,2.1
Hogares,Porcentaje de hogares unipersonales,,37.2,24.4,54.2,41.3,31.3,43.4,45.0,30.0,13.2,26.6,23.6,39.2,37.9,41.6,48.6,42.6
Hogares,Porcentaje de población de 14 años y más unida (en unión legal o consensual) ,,48.9,53.1,44.9,48.0,43.1,47.5,49.6,49.4,49.0,47.0,60.9,48.3,51.0,51.9,44.3,46.1
Hogares,Porcentaje de hogares familiares,3,62.0,73.2,45.6,57.7,68.3,56.4,54.2,69.8,86.4,72.7,76.2,60.8,61.4,57.3,50.0,55.9
Hogares,Porcentaje de hogares no familiares,,38.0,26.8,54.4,42.3,31.7,43.6,45.8,30.2,13.6,27.3,23.8,39.2,38.6,42.7,50.0,44.1
