Indicador,total_caba,comuna_1,comuna_2,comuna_3,comuna_4,comuna_5,comuna_6,comuna_7,comuna_8,comuna_9,comuna_10,comuna_11,comuna_12,comuna_13,comuna_14,comuna_15
Promedio del Ingreso Per Cápita Familiar (IPCF) de los hogares (pesos) ,"ARS 785,814","ARS 694,384","ARS 1,046,451","ARS 685,561","ARS 573,468","ARS 859,444","ARS 883,031","ARS 630,368","ARS 401,724","ARS 605,610","ARS 678,784","ARS 757,726","ARS 864,081","ARS 963,308","ARS 1,028,794","ARS 836,539"
Porcentaje de hogares con ingresos inferiores a la Línea de Pobreza ,18.2,26.8,17.0,25.7,32.2,"12,7a","13,4a",22.8,37.9,"24,0a","14,0a","8,8a","8,6a","11,9a","11,9a","13,4a"
Porcentaje de poblacion con ingresos inferiores a la Línea de Pobreza ,22.9,35.5,15.7,32.3,40.7,13.7,14.4,29.0,46.1,28.2,17.5,13.3,"8,4a",11.1,11.5,15.6
Tasa de actividad1 ,63.1,66.5,64.5,63.7,59.9,68.1,63.1,61.4,55.0,60.8,58.4,63.1,63.5,65.6,66.1,66.3
Tasa de empleo1 ,59.4,62.3,61.8,59.9,54.3,64.4,60.6,57.6,49.5,56.6,56.1,58.9,60.1,62.4,63.5,62.5
Tasa de desocupación1 ,5.9,"6,2a","4,2b","5,9a","9,3a","5,5a","4,0b","6,3a","10,0a","6,9a","3,9b","6,7a","5,4a","4,9a","4,0b","5,7a"
Tasa de desocupación de los varones ,4.7,"4,6b", ---,"5,2b","7,6a","4,5b", ---,"5,0b","8,5a","6,4b", ---, ---, ---,"4,0b", ---,"6,0b"
Tasa de desocupación de las mujeres ,7.2,"8,1a","5,6b","6,8b","11,3a","6,3b","4,9b","7,7b","11,8a","7,4b","6,1b","8,2b","7,5b","5,8b","5,6b","5,4b"
Tasa de subocupación horaria ,8.4,"9,1a","6,5a","9,4a","11,9a","5,6a","6,5a","12,3a",12.3,"9,3a","11,0a","8,2a","6,2a","5,4a","5,4a","7,9a"
Porcentaje de ocupados/as por cuenta propia,22.3,23.9,19.6,19.8,21.1,20.1,23.4,20.7,23.6,25.6,21.5,28.0,"18,7a",26.7,20.7,21.4
Porcentaje de asalariados/as sin descuento jubilatorio ,26.3,32.8,25.5,26.9,32.5,"16,7a","18,5a",27.4,41.0,34.4,24.2,"20,7a","21,4a",23.9,23.6,26.4
