osm_type,osm_id,key,value,name,lat,lon,addr:street,addr:housenumber,brand,operator,website,cuisine,opening_hours,description,barrio,comuna,ipcf_promedio_pesos,porc_hogares_bajo_lp,porc_poblacion_bajo_lp,tasa_actividad,tasa_empleo,tasa_desocupacion,tasa_desocupacion_varones,tasa_desocupacion_mujeres,tasa_subocupacion,porc_cuenta_propia,porc_asalariados_sin_jubilacion,poblacion,superficie_km2,densidad_hab_km2,porc_poblacion_ciudad,porc_superficie_ciudad,varones_cada_100_mujeres,edad_promedio_anios,porc_poblacion_0_14,porc_poblacion_15_64,porc_65mas,porc_nacidos_ciudad,tasa_fecundidad,tasa_mortalidad_infantil,tasa_natalidad,tasa_mortalidad,tasa_crecimiento_vegetativo,porc_mujeres_sin_hijos,porc_mujeres_1_2_hijos,porc_mujeres_mas_2_hijos,tamano_medio_hogar,porc_hogares_unipersonales,porc_poblacion_unida,porc_hogares_familiares,porc_hogares_no_familiares
node,247463215,amenity,restaurant,Restaurant Museo Evita,-34.5805799,-58.4149412,Juan María Gutiérrez,3926,,,https://www.museoevitaresto.com.ar/,,,,Palermo,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,"14,297",7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0
node,314685053,amenity,restaurant,Voulez Bar,-34.5792027,-58.4126688,,,,,,,,,Palermo,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,"14,297",7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0
node,314685054,amenity,restaurant,Olivetti,-34.5792839,-58.4123925,,,,,,,,,Palermo,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,"14,297",7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0
node,314685083,amenity,restaurant,Bella Italia,-34.5776635,-58.4116493,,,,,,,,,Palermo,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,"14,297",7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0
node,331520104,amenity,restaurant,Las Asturias,-34.6380178,-58.5047043,,,,,,,,,Villa Luro,10.0,678784.0,"14,0a",17.5,58.4,56.1,"3,9b", ---,"6,1b","11,0a",21.5,24.2,"170,859",12.6,"13,560",5.5,6.1,88.8,39.6,19.8,62.0,18.2,75.2,1.0,5.1,6.1,10.0,-3.9,30.0,53.2,16.8,2.5,23.6,60.9,76.2,23.8
node,331521783,amenity,restaurant,El Argentino,-34.6381513,-58.5033989,,,,,,,,,Villa Luro,10.0,678784.0,"14,0a",17.5,58.4,56.1,"3,9b", ---,"6,1b","11,0a",21.5,24.2,"170,859",12.6,"13,560",5.5,6.1,88.8,39.6,19.8,62.0,18.2,75.2,1.0,5.1,6.1,10.0,-3.9,30.0,53.2,16.8,2.5,23.6,60.9,76.2,23.8
node,331522003,amenity,cafe,bule-bar,-34.6395072,-58.5057209,,,,,,,,,Villa Luro,10.0,678784.0,"14,0a",17.5,58.4,56.1,"3,9b", ---,"6,1b","11,0a",21.5,24.2,"170,859",12.6,"13,560",5.5,6.1,88.8,39.6,19.8,62.0,18.2,75.2,1.0,5.1,6.1,10.0,-3.9,30.0,53.2,16.8,2.5,23.6,60.9,76.2,23.8
node,331522170,amenity,restaurant,Avellino,-34.6405076,-58.5094119,,,,,,,,,Liniers,9.0,605610.0,"24,0a",28.2,60.8,56.6,"6,9a","6,4b","7,4b","9,3a",25.6,34.4,"171,839",16.6,"10,352",5.6,8.1,94.4,38.4,19.7,63.2,17.1,68.7,1.1,8.2,6.5,9.9,-3.5,30.2,48.9,20.9,2.6,26.6,47.0,72.7,27.3
node,340141702,amenity,cafe,Café Tortoni,-34.6086934,-58.3781432,Avenida de Mayo,829,,,https://www.cafetortoni.com.ar/,,Mo-Su 08:00-18:00,,Monserrat,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,"14,465",8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8
node,440909033,amenity,cafe,Dulce Hora,-34.6342214,-58.5241588,,,,,,,Mo-Sa 07:00-20:00,,Versalles,10.0,678784.0,"14,0a",17.5,58.4,56.1,"3,9b", ---,"6,1b","11,0a",21.5,24.2,"170,859",12.6,"13,560",5.5,6.1,88.8,39.6,19.8,62.0,18.2,75.2,1.0,5.1,6.1,10.0,-3.9,30.0,53.2,16.8,2.5,23.6,60.9,76.2,23.8
node,454371119,amenity,restaurant,El Pingüino de Palermo,-34.5848511,-58.4241831,Jorge Luis Borges,2195,,,,,,,Palermo,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,"14,297",7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0
