osm_type,osm_id,key,value,name,lat,lon,addr:street,addr:housenumber,brand,operator,website,cuisine,opening_hours,description,barrio,comuna,ipcf_promedio_pesos,porc_hogares_bajo_lp,porc_poblacion_bajo_lp,tasa_actividad,tasa_empleo,tasa_desocupacion,tasa_desocupacion_hombres,tasa_desocupacion_mujeres,tasa_subocupacion_horaria,porc_cuenta_propia,porc_asalariados_sin_jubilacion,poblacion,superficie_km2,densidad_hab_km2,porc_poblacion_en_ciudad,porc_superficie_en_ciudad,razon_varones_por_100_mujeres,edad_promedio_anios,porc_poblacion_0_14,porc_poblacion_15_64,porc_65mas,porc_poblacion_nacida_en_ciudad,Tasa global de fecundidad (hijos/as por mujer)1 ,Tasa de mortalidad infantil (por mil nacidos/as vivos/as) 1 ,Tasa bruta de natalidad (por mil) (2023) ,Tasa bruta de mortalidad (por mil) (2023) ,tasa_crecimiento_vegetativo_2023_por_mil,porc_mujeres_14mas_sin_hijos,porc_mujeres_14mas_con_1o2_hijos,Porcentaje de mujeres de 14 años y más que tuvieron más de 2 hijos/as,tamano_medio_hogar,porc_hogares_unipersonales,porc_poblacion_14mas_unida,porc_hogares_familiares,porc_hogares_no_familiares,_name_norm,chain_count,is_chain,regex_label,manual_label,unified_label
node,3837419034,amenity,restaurant,Ragnarok,-34.5872122,-58.5039491,,,,,,,,,VILLA PUEYRREDON,12.0,864081.0,"8,6a","8,4a",63.5,60.1,"5,4a", ---,"7,5b","6,2a","18,7a","21,4a","215,442",15.7,13722.0,7.0,7.6,88.4,40.2,18.4,63.5,18.1,65.5,1.0,5.6,6.8,9.4,-2.6,35.8,49.7,14.5,2.2,37.9,51.0,61.4,38.6,ragnarok,1,False,Sin motivo claro / nombre genérico,Religioso / devocional,Sin motivo claro / nombre genérico
node,4319023526,amenity,restaurant,Vrindavan,-34.584742,-58.4350083,,,,,,indian,,,PALERMO,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,14297.0,7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0,vrindavan,1,False,Sin motivo claro / nombre genérico,Religioso / devocional,Sin motivo claro / nombre genérico
node,4699693767,amenity,restaurant,Chifa Lio San,-34.6114737,-58.4103478,Hipólito Yrigoyen,,,,,peruvian,,,BALVANERA,3.0,685561.0,25.7,32.3,63.7,59.9,"5,9a","5,2b","6,8b","9,4a",19.8,26.9,"193,790",6.4,30280.0,6.3,3.1,90.1,39.2,17.4,65.8,16.8,50.5,1.1,8.2,7.7,9.7,-2.0,38.2,42.5,19.3,2.2,41.3,48.0,57.7,42.3,chifa lio san,1,False,Religioso / devocional,,Sin motivo claro / nombre genérico
node,4707360755,amenity,restaurant,Santa Fe 1234,-34.5957765,-58.3846552,Avenida Santa Fe,1234,,,http://santafe1234.com.ar,argentinian;breakfast,Mo-Su 06:00-03:00,,RETIRO,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,santa fe 1234,1,False,Religioso / devocional,,Sin motivo claro / nombre genérico
node,4818944211,amenity,restaurant,Mi esperanza,-34.6430402,-58.5284896,,,,,,peruvian,,,LINIERS,9.0,605610.0,"24,0a",28.2,60.8,56.6,"6,9a","6,4b","7,4b","9,3a",25.6,34.4,"171,839",16.6,10352.0,5.6,8.1,94.4,38.4,19.7,63.2,17.1,68.7,1.1,8.2,6.5,9.9,-3.5,30.2,48.9,20.9,2.6,26.6,47.0,72.7,27.3,mi esperanza,1,False,Sin motivo claro / nombre genérico,Religioso / devocional,Sin motivo claro / nombre genérico
node,5962475086,amenity,bar,Santos Vega Draught Bar,-34.5843673,-58.442959,Avenida Coronel Niceto Vega,5924,,,https://santos-vega.com/,,,,PALERMO,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,14297.0,7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0,santos vega draught bar,1,False,Religioso / devocional,,Sin motivo claro / nombre genérico
node,9576523317,amenity,cafe,Nuestra América,-34.607275,-58.4145124,,,,,,,,,ALMAGRO,5.0,859444.0,"12,7a",13.7,68.1,64.4,"5,5a","4,5b","6,3b","5,6a",20.1,"16,7a","187,991",6.7,28058.0,6.1,3.3,85.8,40.3,17.2,64.7,18.1,57.7,0.9,4.2,6.2,9.8,-3.6,42.6,44.4,13.0,2.1,43.4,47.5,56.4,43.6,nuestra america,1,False,Sin motivo claro / nombre genérico,Religioso / devocional,Culturas latinoamericanas vecinas
node,12012851663,amenity,restaurant,Horus,-34.6117047,-58.3935544,,,,,,egipcian,,,BALVANERA,3.0,685561.0,25.7,32.3,63.7,59.9,"5,9a","5,2b","6,8b","9,4a",19.8,26.9,"193,790",6.4,30280.0,6.3,3.1,90.1,39.2,17.4,65.8,16.8,50.5,1.1,8.2,7.7,9.7,-2.0,38.2,42.5,19.3,2.2,41.3,48.0,57.7,42.3,horus,1,False,Sin motivo claro / nombre genérico,Religioso / devocional,Sin motivo claro / nombre genérico
node,13075941907,amenity,cafe,Rita,-34.5767786,-58.4376232,,,,,,,,,PALERMO,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,14297.0,7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0,rita,4,False,Religioso / devocional,,Sin motivo claro / nombre genérico
node,13168170866,amenity,cafe,Rita,-34.542194,-58.464107,11 de Septiembre de 1888,4050,,,,,,,NUÑEZ,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,15782.0,7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7,rita,4,False,Religioso / devocional,,Sin motivo claro / nombre genérico
