name,regex_label
"""Es... El""",Sin motivo claro / nombre genérico
1516 Cervecería,Sin motivo claro / nombre genérico
4 Angelitos,Sin motivo claro / nombre genérico
42,Sin motivo claro / nombre genérico
70 30 Bar,Sin motivo claro / nombre genérico
800 ASA (Mueve),Sin motivo claro / nombre genérico
878,Sin motivo claro / nombre genérico
A 222,Sin motivo claro / nombre genérico
A Buen Puerto,Sin motivo claro / nombre genérico
A Fuego Fuerte,Sin motivo claro / nombre genérico
A Las Flautas,Sin motivo claro / nombre genérico
A.J.Dulcinea,Sin motivo claro / nombre genérico
ABC,Sin motivo claro / nombre genérico
ABC Liniers,Sin motivo claro / nombre genérico
ABRA Cultural,Sin motivo claro / nombre genérico
ADA,Sin motivo claro / nombre genérico
Abarrotes,Sin motivo claro / nombre genérico
Abraxas discos,Sin motivo claro / nombre genérico
Abuela Pan,Sin motivo claro / nombre genérico
Acacia Negra,Sin motivo claro / nombre genérico
Acacia Negra,Sin motivo claro / nombre genérico
Aconcagua,Sin motivo claro / nombre genérico
Actitud,Sin motivo claro / nombre genérico
Adorado,Sin motivo claro / nombre genérico
Adorado,Sin motivo claro / nombre genérico
Adorado,Sin motivo claro / nombre genérico
Adán Buenosayres Libros,Sin motivo claro / nombre genérico
After Office TRENDY Miercoles Palermo,Sin motivo claro / nombre genérico
Agape Libros,Sin motivo claro / nombre genérico
Agote,Sin motivo claro / nombre genérico
Agricultura con Agricultores,Sin motivo claro / nombre genérico
Aguirre 1570,Sin motivo claro / nombre genérico
Agustina,Sin motivo claro / nombre genérico
Ajo Negro,Sin motivo claro / nombre genérico
Al Amal,Sin motivo claro / nombre genérico
Al Azar,Sin motivo claro / nombre genérico
Al Bacio,Sin motivo claro / nombre genérico
Al Club,Sin motivo claro / nombre genérico
Al Taglio,Sin motivo claro / nombre genérico
Al gran queso,Sin motivo claro / nombre genérico
Alaire,Sin motivo claro / nombre genérico
Alameda,Sin motivo claro / nombre genérico
Alamesa Resto,Sin motivo claro / nombre genérico
Alamut,Sin motivo claro / nombre genérico
Albamonte,Sin motivo claro / nombre genérico
Albertina,Sin motivo claro / nombre genérico
Alcalá,Sin motivo claro / nombre genérico
Aldonza,Sin motivo claro / nombre genérico
Alessandro,Sin motivo claro / nombre genérico
Alessandro,Sin motivo claro / nombre genérico
Alessandro,Sin motivo claro / nombre genérico
Alfa,Sin motivo claro / nombre genérico
Alfonso,Sin motivo claro / nombre genérico
Alicia,Sin motivo claro / nombre genérico
Alimentari,Sin motivo claro / nombre genérico
All Saints Café,Sin motivo claro / nombre genérico
Allungata,Sin motivo claro / nombre genérico
Almagro,Sin motivo claro / nombre genérico
Alsina,Sin motivo claro / nombre genérico
Altitud,Sin motivo claro / nombre genérico
Aluvion Libros,Sin motivo claro / nombre genérico
Alvarado,Sin motivo claro / nombre genérico
Aló,Sin motivo claro / nombre genérico
Amancio,Sin motivo claro / nombre genérico
Amano,Sin motivo claro / nombre genérico
Amarillo,Sin motivo claro / nombre genérico
