osm_type,osm_id,key,value,name,lat,lon,barrio,comuna,_name_norm,unified_label
node,9576523317,amenity,cafe,Nuestra América,-34.607275,-58.4145124,ALMAGRO,5.0,nuestra america,Culturas latinoamericanas vecinas
node,1109141331,amenity,bar,San Salvador,-34.6016992,-58.3924261,SAN NICOLAS,1.0,san salvador,Religioso / devocional
node,1114122470,amenity,bar,Santa Cebada,-34.599588,-58.3959867,RECOLETA,2.0,santa cebada,Religioso / devocional
node,1513392109,amenity,restaurant,San Fermin,-34.6193471,-58.369142,SAN TELMO,1.0,san fermin,Religioso / devocional
node,1715208875,amenity,restaurant,San Cayetano,-34.5895331,-58.4081047,RECOLETA,2.0,san cayetano,Religioso / devocional
node,1953847234,amenity,restaurant,Milagrito,-34.5718687,-58.431217,PALERMO,14.0,milagrito,Religioso / devocional
node,2025928692,amenity,restaurant,El Mesón de Guadalupe,-34.5959091,-58.4959407,AGRONOMIA,15.0,el meson de guadalupe,Religioso / devocional
node,2175216605,amenity,restaurant,San Cayetano,-34.5623051,-58.4574393,BELGRANO,13.0,san cayetano,Religioso / devocional
node,2330170840,amenity,cafe,Café San Miguel,-34.5926945,-58.4013697,RECOLETA,2.0,cafe san miguel,Religioso / devocional
node,2733105015,amenity,theatre,Auditorio Misericordia,-34.5997985,-58.5078803,VILLA DEVOTO,11.0,auditorio misericordia,Religioso / devocional
node,2950081870,amenity,restaurant,La Madonnina,-34.5386039,-58.4667349,NUÑEZ,13.0,la madonnina,Religioso / devocional
node,3124920368,amenity,cafe,All Saints Café,-34.5608459,-58.4593254,BELGRANO,13.0,all saints cafe,Religioso / devocional
node,3132406810,amenity,cafe,Café Altares,-34.5521612,-58.4707943,NUÑEZ,13.0,cafe altares,Religioso / devocional
node,3188286768,amenity,restaurant,El Gran Paraiso,-34.6394019,-58.3632804,BOCA,4.0,el gran paraiso,Religioso / devocional
node,3522661993,amenity,restaurant,Santo Pizzería,-34.5807347,-58.4268681,PALERMO,14.0,santo pizzeria,Religioso / devocional
node,3805648247,amenity,pub,Temple Craft Soho,-34.588021,-58.4269385,PALERMO,14.0,temple craft soho,Religioso / devocional
node,3879289980,amenity,bar,Santísima Cervecería,-34.5810314,-58.4328846,PALERMO,14.0,santisima cerveceria,Religioso / devocional
node,3968569261,amenity,bar,San Bernardo,-34.5977853,-58.4412741,VILLA CRESPO,15.0,san bernardo,Religioso / devocional
node,4251151893,amenity,restaurant,Santos Manjares,-34.5977111,-58.380313,RETIRO,1.0,santos manjares,Religioso / devocional
node,4261759800,amenity,bar,Sera de Dios,-34.6148022,-58.3711998,MONSERRAT,1.0,sera de dios,Religioso / devocional
node,4318837523,amenity,restaurant,San Jose,-34.6289287,-58.462524,FLORES,7.0,san jose,Religioso / devocional
node,4520034604,amenity,restaurant,San Antonio,-34.6315447,-58.4161492,BOEDO,5.0,san antonio,Religioso / devocional
node,4656998124,amenity,cafe,Cafe Altares,-34.6111225,-58.4644923,VILLA GRAL. MITRE,11.0,cafe altares,Religioso / devocional
node,4658087570,amenity,restaurant,Santa Rita,-34.6118494,-58.4812998,VILLA SANTA RITA,11.0,santa rita,Religioso / devocional
node,4669989798,amenity,restaurant,San Cayetano,-34.5968692,-58.4145457,RECOLETA,2.0,san cayetano,Religioso / devocional
node,4670184638,amenity,restaurant,San Luca,-34.6096122,-58.3637808,PUERTO MADERO,1.0,san luca,Religioso / devocional
node,4673431795,amenity,restaurant,Santo Domingo,-34.6128713,-58.3753693,MONSERRAT,1.0,santo domingo,Religioso / devocional
node,4675203182,amenity,cafe,La Nueva San Agustín,-34.5832443,-58.4022345,PALERMO,14.0,la nueva san agustin,Religioso / devocional
node,4675262363,amenity,cafe,Santa Cafe,-34.6117761,-58.3779396,MONSERRAT,1.0,santa cafe,Religioso / devocional
node,4677312663,amenity,cafe,Cafe San Juan,-34.616121,-58.3728011,SAN TELMO,1.0,cafe san juan,Religioso / devocional
node,4684267349,amenity,restaurant,Santa Teresita,-34.6538759,-58.5191496,MATADEROS,9.0,santa teresita,Religioso / devocional
node,4693050032,amenity,cafe,Las Delicias San Juan,-34.6254233,-58.4148629,BOEDO,5.0,las delicias san juan,Religioso / devocional
node,4698973811,amenity,cafe,Santa Cafe,-34.6116868,-58.3777866,MONSERRAT,1.0,santa cafe,Religioso / devocional
node,4699907320,amenity,restaurant,Las Nazarenas,-34.5947592,-58.3734669,RETIRO,1.0,las nazarenas,Religioso / devocional
node,4704335829,amenity,restaurant,Cafe San Juan,-34.6220044,-58.3721799,SAN TELMO,1.0,cafe san juan,Religioso / devocional
node,4708554092,amenity,restaurant,Misericordia,-34.6320173,-58.4565178,FLORES,7.0,misericordia,Religioso / devocional
node,4764182876,amenity,cafe,CONFITERÍA SAN MIGUEL,-34.6030537,-58.4239913,ALMAGRO,5.0,confiteria san miguel,Religioso / devocional
